,country_name,country_code,gdp_us_billion,mat_mort_ratio,population
60,Ethiopia,ETH,56.68196745417084,397.0,97.394982
61,Finland,FIN,253.6885205979164,3.0,5.4578164000000005
62,Fiji,FJI,4.33093137812332,31.5,0.8860051999999999
63,France,FRA,2647.649725041198,8.75,66.3020988
64,Faroe Islands,FRO,2.4849821807894696,,0.0488674
65,"Micronesia, Fed. Sts.",FSM,0.31932078,103.25,0.104118
66,Gabon,GAB,16.28349439641404,302.0,1.8719524
67,United Kingdom,GBR,2768.864416903352,9.25,64.64155720000001
68,Georgia,GEO,15.3644508508605,37.5,3.75288
69,Ghana,GHA,41.71889590854364,321.5,26.9662824
70,Gibraltar,GIB,,,0.0340255999999999
71,Guinea,GIN,6.304230915099358,689.25,11.82221
72,"Gambia, The",GMB,0.9137731069335464,724.0,1.9190784
73,Guinea-Bissau,GNB,1.0628306311309157,552.25,1.7263204
74,Equatorial Guinea,GNQ,17.62705982526364,352.5,1.1297284
75,Greece,GRC,222.2062583491764,3.0,10.8940516
76,Grenada,GRD,0.9108434463703692,27.0,0.106378
77,Greenland,GRL,2.4158926680628574,,0.0563776
78,Guatemala,GTM,59.098538178476645,96.25,15.9251454
79,Guam,GUM,5.46575,,0.1612016
80,Guyana,GUY,3.1087234691451235,234.25,0.7632764000000001
81,"Hong Kong SAR, China",HKG,292.0203588403156,,7.24724
82,Honduras,HND,19.82920830720096,134.25,8.8092686
83,Croatia,HRV,54.08744241389729,8.75,4.227168
84,Haiti,HTI,8.373276259056789,367.0,10.5703694
85,Hungary,HUN,129.4708638360708,16.25,9.8681796
86,Indonesia,IDN,902.9448662199316,136.75,255.064836
87,Isle of Man,IMN,6.871989195429913,,0.0825826
88,India,IND,2019.005411363848,185.25,1293.7425374000002
89,Ireland,IRL,259.8262591038286,8.0,4.6504692
90,"Iran, Islamic Rep.",IRN,479.39809440850576,25.75,78.387593
91,Iraq,IRQ,207.6853879271976,50.25,34.9968034
92,Iceland,ISL,16.741584532024817,3.5,0.3273865999999999
93,Israel,ISR,295.57707281060505,5.0,8.22258
94,Italy,ITA,2005.9839798519097,4.0,60.3787954
95,Jamaica,JAM,14.253139429626538,90.5,2.861635
96,Jordan,JOR,35.306037014084495,58.75,8.7660894
97,Japan,JPN,5106.024760217122,5.75,127.2971022
98,Kazakhstan,KAZ,196.8188420634126,13.0,17.2914164
99,Kenya,KEN,60.25039968070957,534.25,46.0391108
100,Kyrgyz Republic,KGZ,6.927546074023203,78.25,5.84038
101,Cambodia,KHM,16.866507248976237,169.75,15.2700706
102,Kiribati,KIR,0.1774306362866995,95.0,0.1104816
103,St. Kitts and Nevis,KNA,0.8327559703703702,,0.0537216
104,"Korea, Rep.",KOR,1346.751161809782,12.0,50.7272118
105,Kuwait,KWT,156.22612341393798,4.0,3.7529538
106,Lao PDR,LAO,13.1391167664339,222.5,6.5816886
107,Lebanon,LBN,45.58199216742952,16.0,5.5307864
108,Liberia,LBR,1.966,753.75,4.394407
109,Libya,LBY,,9.0,6.2253088
110,St. Lucia,LCA,1.362563866666668,49.0,0.1764273999999999
111,Liechtenstein,LIE,6.170415565802819,,0.037115
112,Sri Lanka,LKA,76.80850573253944,31.25,20.79
113,Lesotho,LSO,2.453298367290264,520.25,2.146308
114,Lithuania,LTU,44.40153933490205,10.0,2.9310074
115,Luxembourg,LUX,60.55604483850084,10.25,0.5566401999999999
116,Latvia,LVA,28.88604907943493,18.0,1.9957398
117,"Macao SAR, China",MAC,48.0299144786307,,0.5880524
118,St. Martin (French part),MAF,,,0.0314912
119,Morocco,MAR,103.40232869435984,128.75,34.3113496
120,Monaco,MCO,,,0.0381384
121,Moldova,MDA,7.303144522668559,24.25,3.556118
122,Madagascar,MDG,10.184858603216025,377.0,23.6052318
123,Maldives,MDV,3.086803059723072,70.75,0.401131
124,Mexico,MEX,1188.8027797526602,40.0,124.2034496
125,Marshall Islands,MHL,0.1843189,,0.0528828
126,"Macedonia, FYR",MKD,10.5752956837322,8.0,2.0775568
127,Mali,MLI,13.21037026753742,603.75,16.9820152
128,Malta,MLT,10.351058282829513,9.5,0.4278028
129,Myanmar,MMR,63.09383998503963,186.5,51.9295568
130,Montenegro,MNE,4.266611705982743,7.25,0.6217116
131,Mongolia,MNG,12.00062066411712,48.0,2.9223008
132,Northern Mariana Islands,MNP,0.82225,,0.0544121999999999
133,Mozambique,MOZ,14.66550258724094,521.5,27.2327054
134,Mauritania,MRT,5.164009615558276,642.0,4.0647376
135,Mauritius,MUS,12.08954846894898,53.75,1.2603094
136,Malawi,MWI,5.883435315688628,633.0,17.0816944
137,Malaysia,MYS,313.68619343210094,42.25,30.2031234
138,Namibia,NAM,12.06845351016548,280.0,2.371344
139,New Caledonia,NCL,,,0.2682
140,Niger,NER,7.501482314102046,585.5,19.1752354
141,Nigeria,NGA,486.1135787930049,818.5,176.5516946
142,Nicaragua,NIC,11.8747996874164,156.75,6.013763
143,Netherlands,NLD,819.2849999852647,7.0,16.8765466
144,Norway,NOR,457.5851861183048,5.0,5.1313928
145,Nepal,NPL,20.11661474871874,283.0,28.3195058
146,Nauru,NRU,0.1063907582683738,,0.0116954
147,New Zealand,NZL,185.5984128366328,11.5,4.52966
148,Oman,OMN,74.55754052921552,17.75,3.9523244
149,Pakistan,PAK,250.9345888260688,187.25,185.5508748
