country_name,country_code,gdp_us_billion,mat_mort_ratio,population
Chad,TCD,11.945941624528256,892.25,13.5740236
Togo,TGO,4.183610270151676,380.75,7.2309042
Thailand,THA,406.1369035633878,21.0,68.384986
Tajikistan,TJK,8.036228249158343,33.25,8.3638436
Turkmenistan,TKM,37.973095839599,43.5,5.465637
Timor-Leste,TLS,1.36142965,240.25,1.2127176000000002
Tonga,TON,0.4391788826101096,129.25,0.1059094
Trinidad and Tobago,TTO,24.57094700955452,63.25,1.3538766
Tunisia,TUN,44.82437395584522,63.25,11.1444086
Turkey,TUR,895.1755765679472,17.5,77.0343452
Tuvalu,TUV,0.0364699912607326,,0.01091
Tanzania,TZA,44.93554179893688,429.5,52.2813238
Uganda,UGA,25.941460671399582,366.5,38.865339
Ukraine,UKR,135.3792751296947,24.25,45.3027042
Uruguay,URY,54.34513229567844,15.5,3.4199772000000004
United States,USA,17369.1246,14.0,318.5581748
Uzbekistan,UZB,61.34064873788879,37.0,30.7845
St. Vincent and the Grenadines,VCT,0.730106762962963,45.75,0.1094206
"Venezuela, RB",VEN,376.1462684839555,97.0,30.7345238
British Virgin Islands,VGB,,,0.0295854
Virgin Islands (U.S.),VIR,3.812,,0.1041414
Vietnam,VNM,181.8207364226802,54.75,90.7424
Vanuatu,VUT,0.7828759527813631,82.5,0.2588963999999999
Samoa,WSM,0.7998873473870242,54.75,0.192225
Kosovo,XKX,6.804619738171179,,1.81382
"Yemen, Rep.",YEM,36.819336504567325,399.75,26.2466076
South Africa,ZAF,345.209888495274,143.75,54.17720942170144
Zambia,ZMB,24.280989919565,233.75,15.6332196
Zimbabwe,ZWE,15.49551386,398.0,15.420964
